loan_id,customer_id,age,gender,income,loan_amount,tenure_months,credit_score,employment_status,bank_balance,number_of_loans,missed_payments,defaulted,debt_to_income_ratio,loan_to_bank_balance_ratio,credit_score_category,missed_payment_rate
37,1747,31,Male,467480.0,226204,24,445.0,Full-time,544653,0,0,0,0.48387952425772224,0.4153176426091475,Low,
38,3904,26,Female,317219.0,86253,24,595.0,Part-time,301173,0,5,0,0.2719036375500837,0.28639021426223465,Medium,inf
39,4632,63,Male,229526.0,282355,12,769.0,Full-time,263881,2,0,1,1.2301656457220533,1.0700088297376469,High,0.0
40,1474,18,Male,78365.0,121086,12,805.0,Self-employed,393186,2,8,0,1.545154086645824,0.30796111763898004,High,4.0
41,2082,62,Male,280255.0,103783,6,492.0,Full-time,729992,2,0,0,0.37031631906656437,0.14217005117864306,Low,0.0
42,3558,30,Female,323146.0,135681,12,367.0,Self-employed,609762,2,5,0,0.41987522667772464,0.22251468605783897,Low,2.5
43,4753,21,Female,326091.0,97893,6,793.0,Unemployed,340362,4,0,0,0.30020147750167897,0.2876143635305939,High,0.0
44,3047,18,Male,260294.0,168763,24,351.0,Unemployed,779966,4,6,0,0.6483553212905407,0.21637225212381053,Low,1.5
45,4547,57,Female,406984.0,87960,6,662.0,Unemployed,158571,0,2,1,0.2161264324887465,0.5547042019032484,Medium,inf
46,3747,49,Female,166219.0,32601,36,773.0,Self-employed,765387,1,5,0,0.19613281273500624,0.04259413865142732,High,5.0
47,1975,51,Female,390754.0,149227,24,820.0,Full-time,241474,1,6,1,0.3818950029942112,0.6179837166734307,High,6.0
48,2806,45,Male,364286.0,210191,24,730.0,Full-time,128692,3,0,0,0.5769944494161181,1.633287228421347,High,0.0
49,1189,48,Female,106307.0,177849,12,597.0,Part-time,762790,4,0,0,1.6729754390585756,0.233155914471873,Medium,0.0
50,4005,25,Male,185565.0,291854,24,734.0,Self-employed,701517,2,4,1,1.5727858162907875,0.4160326834559961,High,2.0
51,3734,56,Male,305095.0,165604,36,497.0,Part-time,973751,2,5,0,0.54279486717252,0.17006811803017405,Low,2.5
52,4005,43,Male,362229.0,138727,6,427.0,Unemployed,390555,3,8,0,0.3829814840887947,0.355204772695267,Low,2.6666666666666665
53,1562,51,Male,84228.0,73227,12,831.0,Full-time,172106,1,0,0,0.8693902265279955,0.42547616004090505,High,0.0
54,2899,20,Male,280255.0,146039,24,710.0,Self-employed,294,2,3,0,0.5210932900394284,496.7312925170068,High,1.5
55,4638,29,Female,495091.0,94289,6,364.0,Part-time,811028,1,9,0,0.19044781666400723,0.11625862485635514,Low,9.0
56,2267,18,Male,474871.0,161094,6,540.0,Part-time,98185,3,7,0,0.33923739289196436,1.6407190507715028,Low,2.3333333333333335
57,3879,61,Female,280255.0,215743,12,668.0,Part-time,797866,1,9,0,0.7698096376514246,0.27040004211233465,Medium,9.0
58,2528,22,Male,361581.0,277866,6,559.5,Full-time,58382,1,8,0,0.7684751134600546,4.759446404713781,Low,8.0
59,4202,47,Female,492632.0,168485,24,683.0,Full-time,300242,1,2,0,0.34200985725653227,0.5611639943778686,Medium,2.0
60,4556,47,Male,280255.0,243820,12,730.0,Full-time,528943,2,1,1,0.8699933988688873,0.4609570407397394,High,0.5
61,4890,34,Male,187888.0,246994,36,382.0,Self-employed,607317,0,3,0,1.3145810269948055,0.40669699679080284,Low,inf
62,1646,64,Male,127175.0,78323,24,585.0,Full-time,308372,4,1,0,0.6158678985649695,0.2539886889860299,Medium,0.25
63,3068,40,Male,114307.0,295960,24,833.0,Self-employed,3771,1,0,1,2.5891677675033025,78.4831609652612,High,0.0
64,3888,32,Female,280255.0,50695,24,758.0,Part-time,336243,1,2,0,0.18088883338388254,0.1507689379407155,High,2.0
65,3214,54,Female,440346.0,65841,36,511.0,Part-time,645099,1,6,1,0.14952105844040822,0.1020634042216776,Low,6.0
66,2297,38,Male,145028.0,208784,12,425.0,Unemployed,974303,0,0,0,1.4396116611964587,0.21429062622202744,Low,
67,3435,31,Female,192312.0,117096,36,712.0,Full-time,848689,3,1,0,0.6088855609634344,0.13797280275813636,High,0.3333333333333333
68,1600,19,Male,142493.0,102764,24,798.0,Part-time,803990,2,0,0,0.721186303888612,0.1278175101680369,High,0.0
69,3363,28,Male,175149.0,95744,24,724.0,Full-time,320580,0,7,0,0.5466431438375327,0.298658681140433,High,inf
70,3061,56,Female,279416.0,19171,24,842.0,Self-employed,107779,1,4,0,0.06861096000229049,0.17787324061273532,High,4.0
71,1241,55,Male,252435.0,110755,12,457.0,Part-time,649179,0,7,1,0.4387466080377127,0.17060779846544635,Low,inf
72,3041,51,Female,213834.0,118125,12,411.0,Full-time,779085,0,2,1,0.5524144897443811,0.1516201698145902,Low,inf
73,3824,55,Male,320403.0,13696,24,701.0,Part-time,485319,0,6,1,0.042746166546505496,0.02822061365823304,High,inf
74,4417,51,Male,231211.0,136310,6,421.0,Part-time,778760,3,7,0,0.5895480751348335,0.17503467050182342,Low,2.3333333333333335
75,3612,35,Male,440919.0,161385,24,572.0,Full-time,556664,4,5,0,0.36601960904383796,0.2899145624649699,Low,1.25
76,3945,47,Male,326993.0,291293,12,593.0,Part-time,480674,2,6,0,0.8908233509585832,0.6060094783574731,Medium,3.0
77,2363,32,Female,393912.0,55740,6,697.0,Part-time,77924,3,1,0,0.14150368610247974,0.7153123556285612,Medium,0.3333333333333333
78,3139,44,Male,418252.0,116611,6,770.0,Part-time,553620,3,7,0,0.2788056004514025,0.21063364762833714,High,2.3333333333333335
79,2390,51,Male,401853.0,258922,6,506.0,Part-time,393145,4,4,0,0.6443201867349504,0.6585916137811749,Low,1.0
80,4003,55,Female,367013.0,73811,24,409.0,Self-employed,571025,3,6,0,0.20111276712269047,0.1292605402565562,Low,2.0
81,2478,50,Female,439032.0,192385,12,739.0,Part-time,393056,0,0,0,0.4382026822646185,0.48945951721892045,High,
82,4499,41,Female,113095.0,73232,36,577.0,Unemployed,89031,0,4,0,0.647526415845086,0.8225449562511934,Low,inf
83,3556,32,Female,280255.0,287561,24,781.0,Part-time,467186,1,0,1,1.0260691156268398,0.6155171601888755,High,0.0
84,1775,47,Female,383054.0,165801,6,413.0,Full-time,183024,3,7,0,0.4328397562745723,0.9058975872016785,Low,2.3333333333333335
85,1034,59,Female,335711.0,122492,24,776.0,Unemployed,283135,1,3,0,0.36487335833499646,0.43262754516396773,High,3.0
86,3253,34,Female,85292.0,40099,36,620.0,Self-employed,27472,2,3,0,0.4701378792852788,1.4596316249271986,Medium,1.5
87,4152,22,Male,124813.0,239206,24,478.0,Unemployed,59946,0,1,1,1.9165151065994728,3.990357988856638,Low,inf
88,2955,46,Male,147136.0,128474,6,518.0,Unemployed,498782,2,4,0,0.8731649630274032,0.25757545380547014,Low,2.0
89,2585,21,Female,101631.0,281400,36,827.0,Unemployed,944353,4,0,1,2.7688402160758034,0.29798179282535237,High,0.0
90,4943,27,Male,59885.0,253588,24,791.0,Full-time,263685,0,8,1,4.2345829506554225,0.9617080986783473,High,inf
91,4459,34,Female,235378.0,44681,6,360.0,Full-time,653525,2,4,1,0.18982657682536175,0.06836922841513332,Low,2.0
92,4073,27,Male,378458.0,101328,6,353.0,Full-time,2765,4,5,0,0.2677390886174952,36.646654611211574,Low,1.25
93,2021,34,Male,377231.0,228512,24,837.0,Self-employed,305218,2,1,0,0.6057614565080812,0.7486845467829552,High,0.5
94,4461,37,Female,472381.0,44540,6,364.0,Full-time,364939,4,9,0,0.09428829694674426,0.12204779428890855,Low,2.25
95,3613,41,Female,408142.0,167608,36,470.0,Full-time,684643,4,9,0,0.41066099543786233,0.24481079920484106,Low,2.25
96,2129,22,Male,280255.0,94700,12,572.0,Unemployed,625675,0,0,0,0.3379065493925175,0.15135653494226237,Low,
97,4843,51,Female,231572.0,197647,36,834.0,Full-time,775404,1,3,0,0.8535012868567875,0.2548955125328216,High,3.0
98,4893,23,Female,370787.0,56002,24,690.0,Part-time,493377,4,6,0,0.15103550016586342,0.11350752061810745,Medium,1.5
99,2500,19,Male,94900.0,59812,6,626.0,Full-time,918273,4,5,0,0.630263435194942,0.06513531379012559,Medium,1.25
100,1702,30,Female,486162.0,201051,6,407.0,Self-employed,673166,0,9,0,0.4135473360731608,0.2986648167019725,Low,inf
101,3449,60,Male,451067.0,267906,24,461.0,Self-employed,789404,1,0,0,0.5939383727916252,0.33937755572558537,Low,0.0
102,3777,60,Male,328432.0,118946,24,751.0,Part-time,673616,3,0,0,0.36216324840454034,0.1765783473076649,High,0.0
103,2579,28,Male,122692.0,76668,24,505.0,Self-employed,366047,3,7,0,0.6248818178854367,0.20944851344226287,Low,2.3333333333333335
104,1161,64,Male,450584.0,109003,12,315.0,Self-employed,518790,1,3,0,0.2419149370594606,0.21011006380230923,Low,3.0
105,1201,40,Female,397580.0,221142,12,626.0,Unemployed,149725,2,4,1,0.5562201317973741,1.476987810986809,Medium,2.0
106,2981,33,Female,277208.0,230462,6,301.0,Part-time,627867,0,6,0,0.8313685030735044,0.36705544327062894,Low,inf
107,1995,48,Male,96403.0,204886,24,309.0,Unemployed,479885,1,7,0,2.1253073037146146,0.42694812298779916,Low,7.0
108,3317,28,Female,141170.0,114601,6,733.0,Unemployed,39339,3,9,0,0.8117942905716512,2.9131650524924377,High,3.0
109,4934,33,Female,321312.0,279956,12,424.0,Full-time,418973,4,6,0,0.8712902101384324,0.6681958025934845,Low,1.5
110,1815,25,Male,362023.0,71844,24,380.0,Part-time,889808,3,1,0,0.19845147960212473,0.08074101379173934,Low,0.3333333333333333
111,4342,21,Female,109871.0,211165,36,784.0,Full-time,304543,4,3,0,1.921935724622512,0.6933832004019137,High,0.75
112,1455,57,Female,82174.0,184870,12,449.0,Full-time,830445,0,9,0,2.2497383600652276,0.22261558561975808,Low,inf
113,4533,21,Female,280823.0,84601,12,639.0,Unemployed,407922,4,0,0,0.3012609366041955,0.20739504120885854,Medium,0.0
114,4798,42,Female,273563.0,292844,24,428.0,Self-employed,955735,1,9,0,1.0704810226529173,0.3064071107576891,Low,9.0
115,2275,20,Male,187653.0,267927,24,737.0,Part-time,552197,4,8,0,1.4277789323911687,0.48520183919869175,High,2.0
116,2016,49,Female,160155.0,183423,12,800.0,Self-employed,518993,2,2,0,1.145284255877119,0.3534209517276726,High,1.0
117,4773,20,Female,383997.0,103330,36,357.0,Unemployed,994135,1,2,0,0.2690906439373224,0.10393960578794631,Low,2.0
118,3343,44,Female,376190.0,235391,36,497.0,Unemployed,712932,0,9,0,0.6257237034477259,0.3301731441427794,Low,inf
119,4796,46,Female,280255.0,223606,12,510.0,Unemployed,479095,1,8,0,0.7978662289700451,0.46672580594662855,Low,8.0
120,3767,49,Female,338793.0,201387,12,344.0,Unemployed,981271,2,9,0,0.5944249143282181,0.20523076703581375,Low,4.5
121,4820,36,Female,177795.0,251133,24,396.0,Unemployed,157541,0,2,1,1.4124862903906183,1.5940802711675055,Low,inf
122,1337,38,Female,138668.0,172627,24,578.0,Unemployed,132385,3,7,0,1.2448942798626936,1.3039770366733392,Low,2.3333333333333335
123,1878,22,Female,263397.0,188048,6,834.0,Self-employed,401063,2,1,0,0.7139337198221696,0.46887396743155063,High,0.5
124,2076,35,Female,195639.0,55095,24,709.0,Full-time,967726,0,2,1,0.2816156287856716,0.05693243748747063,High,inf
125,1791,45,Female,402050.0,155342,24,760.0,Self-employed,992206,4,1,0,0.386374829001368,0.15656224614646555,High,0.25
126,4993,59,Female,289141.0,171980,12,690.0,Part-time,141002,1,0,0,0.5947963104506107,1.219699011361541,Medium,0.0
127,3264,39,Male,146019.0,287667,24,343.0,Self-employed,3285,0,1,1,1.9700655394161033,87.56986301369864,Low,inf
128,1763,38,Male,390146.0,72433,36,326.0,Unemployed,385781,1,7,1,0.18565613898386757,0.18775678428953213,Low,7.0
129,3235,23,Male,78803.0,29991,6,396.0,Self-employed,560151,4,8,0,0.3805819575396876,0.053540920216156,Low,2.0
130,1379,18,Female,199302.0,282919,12,847.0,Full-time,147776,0,1,0,1.4195492268015373,1.914512505413599,High,inf
131,1492,22,Female,198934.0,157745,12,518.0,Part-time,936209,3,6,1,0.7929514311279118,0.16849335992283773,Low,2.0
132,4112,58,Female,486571.0,132808,36,484.0,Self-employed,655915,2,4,0,0.27294680529665766,0.20247745515806165,Low,2.0
133,2180,29,Male,474475.0,168128,36,368.0,Full-time,545611,0,2,1,0.35434532904789506,0.30814628004200795,Low,inf
134,3062,43,Female,280147.0,147686,12,429.0,Self-employed,333112,4,8,0,0.5271732340521227,0.44335238598429355,Low,2.0
135,4884,63,Male,80795.0,17415,24,633.0,Part-time,984426,0,5,0,0.21554551643047218,0.017690512034424122,Medium,inf
136,1064,51,Male,320914.0,256038,24,453.0,Self-employed,53915,1,0,1,0.7978399197292733,4.748919595659835,Low,0.0
137,4928,31,Female,61093.0,264205,24,846.0,Unemployed,371687,0,4,1,4.3246362103677995,0.7108265825815807,High,inf
138,4910,43,Female,489787.0,198221,12,378.0,Self-employed,665979,3,6,0,0.40470857740201355,0.29763851412732234,Low,2.0
139,3568,62,Male,443409.0,178616,12,712.0,Full-time,203462,0,3,0,0.40282448033305596,0.8778838308873401,High,inf
140,2367,44,Male,280255.0,59976,12,845.0,Self-employed,784278,2,7,0,0.2140051024959412,0.07647288333983612,High,3.5
141,2152,26,Male,329713.0,275976,24,468.0,Full-time,894932,0,9,0,0.8370188618586467,0.30837650234878183,Low,inf
142,3027,43,Male,323334.0,231883,6,814.0,Part-time,507553,1,4,0,0.7171624388403323,0.4568646033025123,High,4.0
143,3695,64,Female,374968.0,221509,36,613.0,Self-employed,976778,0,8,1,0.5907410765718675,0.22677517306900852,Medium,inf
144,2495,39,Male,223824.0,249241,6,559.5,Part-time,466389,3,8,1,1.1135579741225248,0.5344058286108806,Low,2.6666666666666665
145,4134,64,Female,213399.0,229526,12,559.5,Part-time,938729,4,8,0,1.0755720504782122,0.24450720069370394,Low,2.0
146,2162,47,Female,354214.0,198799,24,342.0,Self-employed,373410,0,0,0,0.5612398154787783,0.5323879917516938,Low,
147,2522,60,Male,90197.0,48578,24,300.0,Full-time,813171,0,1,0,0.5385766710644478,0.05973897249164075,Low,inf
148,3640,34,Male,52261.0,100453,6,569.0,Part-time,440924,2,2,0,1.922140793325807,0.22782384265769157,Low,1.0
149,1391,43,Male,207584.0,218859,12,479.0,Part-time,652329,3,3,0,1.0543153614922152,0.335504017144723,Low,1.0
150,2698,53,Male,449932.0,121435,36,817.0,Self-employed,53019,4,9,0,0.26989633989136136,2.2904053263924253,High,2.25
151,1418,18,Male,398939.0,226101,12,402.0,Self-employed,207226,1,8,0,0.5667558198120515,1.0910841303697412,Low,8.0
152,3336,25,Female,341077.0,161538,12,309.0,Self-employed,233169,0,9,0,0.4736115305341609,0.6927936389485738,Low,inf
153,1378,52,Male,185450.0,55475,36,389.0,Self-employed,531661,4,5,0,0.2991372337557293,0.10434280490763852,Low,1.25
154,2796,32,Male,90583.0,226232,6,525.0,Self-employed,690641,1,0,0,2.4975105704160825,0.32756815769698006,Low,0.0
155,4561,64,Male,424226.0,167636,12,425.0,Unemployed,544475,3,8,0,0.39515729823254586,0.3078855778502227,Low,2.6666666666666665
156,3278,39,Female,397515.0,163484,12,508.0,Self-employed,854295,3,5,0,0.4112649837113065,0.19136715069150587,Low,1.6666666666666667
157,4065,31,Female,210105.0,103526,12,396.0,Full-time,622215,4,3,0,0.4927345850884082,0.1663830026598523,Low,0.75
158,3088,43,Female,467216.0,61001,12,373.0,Part-time,762473,1,3,0,0.13056273757748021,0.08000414440904793,Low,3.0
159,4099,45,Female,161032.0,202029,6,490.0,Full-time,346229,3,2,0,1.254589149982612,0.5835126462543576,Low,0.6666666666666666
160,3182,40,Female,256940.0,154228,12,355.0,Full-time,117996,4,6,1,0.6002490853895851,1.3070612563137733,Low,1.5
161,1200,31,Female,354748.0,35711,6,331.0,Unemployed,563508,3,2,0,0.1006658247544736,0.06337265841833656,Low,0.6666666666666666
162,2863,41,Female,407218.0,40106,24,826.0,Self-employed,392647,3,1,0,0.09848778786792332,0.10214263702511416,High,0.3333333333333333
163,1779,19,Female,276727.0,227583,12,583.0,Part-time,515971,3,9,0,0.822409811836214,0.44107711479908757,Medium,3.0
164,3977,62,Male,123869.0,148286,12,793.0,Full-time,531930,2,7,0,1.1971195375759875,0.2787697629387325,High,3.5
165,4104,43,Male,317554.0,237189,36,486.0,Self-employed,79971,1,3,0,0.7469249324524333,2.9659376523989947,Low,3.0
166,4119,31,Female,395519.0,136479,24,797.0,Self-employed,579844,4,7,1,0.34506306903081774,0.2353719276219121,High,1.75
167,1502,24,Female,237116.0,146213,6,741.0,Unemployed,426976,4,0,0,0.616630678655173,0.342438450873117,High,0.0
168,3454,20,Female,244387.0,38884,36,429.0,Unemployed,824624,1,4,1,0.1591082995413013,0.04715361182793613,Low,4.0
169,4645,64,Female,408199.0,274852,12,591.0,Unemployed,517473,1,8,0,0.6733284500941943,0.5311426876378091,Medium,8.0
170,2751,40,Male,252416.0,290519,6,413.0,Part-time,397597,1,0,0,1.150953188387424,0.7306871027698901,Low,0.0
171,1804,63,Male,450012.0,25088,24,498.0,Full-time,751943,1,3,0,0.05574962445445899,0.03336423106538661,Low,3.0
172,3146,60,Male,136716.0,186118,24,312.0,Unemployed,412774,0,5,0,1.3613476111062348,0.45089564749717764,Low,inf
173,3731,64,Male,104245.0,282158,12,570.0,Unemployed,292926,4,9,0,2.7066813756055446,0.9632398626274212,Low,2.25
174,2895,62,Male,93056.0,205497,12,514.0,Unemployed,266926,0,7,0,2.2083154229711144,0.7698650562328135,Low,inf
175,3773,35,Female,460925.0,188207,24,743.0,Full-time,746777,3,2,1,0.4083245647339589,0.2520257051301794,High,0.6666666666666666
176,2570,55,Male,300736.0,88077,12,811.0,Full-time,185784,3,4,0,0.29287148861459883,0.4740828058390389,High,1.3333333333333333
177,1960,52,Female,370701.0,149784,36,746.0,Unemployed,236836,4,6,0,0.4040560991203153,0.6324376361701768,High,1.5
178,4810,32,Male,329687.0,215776,12,373.0,Unemployed,488161,3,0,1,0.6544874380852141,0.44201810468267644,Low,0.0
179,3660,42,Female,480634.0,79087,36,836.0,Self-employed,150534,1,6,1,0.16454724384874977,0.5253763269427505,High,6.0
180,2485,54,Female,275683.0,284441,24,400.0,Unemployed,846462,0,7,0,1.0317683716442436,0.3360351675562518,Low,inf
181,3690,45,Male,408182.0,250341,36,475.0,Part-time,723879,1,7,1,0.613307299194967,0.3458326598782393,Low,7.0
182,4840,27,Female,459940.0,299272,24,726.0,Part-time,842843,3,8,1,0.6506761751532809,0.3550744326048861,High,2.6666666666666665
183,2028,56,Male,315972.0,78368,24,416.0,Unemployed,186278,0,5,0,0.24802197663084072,0.420704538378123,Low,inf
184,4289,34,Male,166656.0,229571,12,465.0,Full-time,97469,1,5,0,1.377514160906298,2.3553232309760026,Low,5.0
185,1502,56,Male,67087.0,261514,12,340.0,Self-employed,571238,4,1,0,3.898132275999821,0.4578021770260382,Low,0.25
186,3814,39,Male,455821.0,152180,12,728.0,Full-time,395739,1,2,0,0.33385912452475863,0.3845463803163196,High,2.0
187,1397,43,Male,343481.0,269904,36,643.0,Unemployed,454142,3,3,0,0.785790189268111,0.5943163151613372,Medium,1.0
188,1870,61,Female,186554.0,87603,36,723.0,Part-time,140749,0,3,1,0.4695852139326951,0.6224058430255277,High,inf
189,3842,42,Female,377477.0,43872,12,665.0,Self-employed,731188,4,7,0,0.11622429975866079,0.06000098469887361,Medium,1.75
190,1392,34,Female,232024.0,282872,6,419.0,Full-time,146161,0,0,0,1.2191497431300211,1.9353452699420501,Low,
191,1206,30,Male,186535.0,292727,12,528.0,Full-time,397797,4,9,1,1.5692872651245076,0.7358703057086906,Low,2.25
192,2038,37,Female,293236.0,95774,24,429.0,Unemployed,405123,0,3,1,0.3266106480786807,0.236407214599023,Low,inf
193,2881,42,Male,120448.0,208522,12,651.0,Self-employed,398825,3,3,0,1.7312201115834218,0.522840844982135,Medium,1.0
194,4625,21,Male,54648.0,230357,24,617.0,Part-time,706513,4,0,0,4.215286927243449,0.3260477868064707,Medium,0.0
195,3939,27,Female,442720.0,75942,36,636.0,Unemployed,836971,2,2,0,0.1715350560173473,0.09073432651788413,Medium,1.0
196,2484,20,Male,345767.0,23689,6,572.0,Self-employed,437359,0,4,0,0.0685114542451998,0.05416374191453703,Low,inf
197,4762,58,Female,85634.0,43276,12,416.0,Full-time,22936,0,5,0,0.5053600205525842,1.886815486571329,Low,inf
198,4646,62,Female,487818.0,111968,12,667.0,Unemployed,836614,1,8,0,0.22952822569072892,0.13383471947636544,Medium,8.0
199,1863,35,Male,426742.0,285194,12,393.0,Full-time,501477,4,8,1,0.6683054398207816,0.5687080364602963,Low,2.0
200,3790,64,Male,361478.0,76216,6,467.0,Full-time,897691,2,8,0,0.21084547330681258,0.08490226592446622,Low,4.0
201,4312,53,Male,380792.0,225516,6,640.0,Unemployed,230596,3,0,0,0.5922288283367297,0.9779701295772694,Medium,0.0
202,1563,64,Female,72054.0,31644,36,451.0,Unemployed,619330,1,8,0,0.4391706220334749,0.05109392407924693,Low,8.0
203,2020,39,Male,120028.0,72021,12,573.0,Unemployed,799595,2,7,0,0.6000349918352385,0.0900718488734922,Low,3.5
204,1095,51,Male,72207.0,178197,12,795.0,Unemployed,782046,4,1,0,2.467863226556982,0.22785999800523243,High,0.25
205,2923,64,Male,280893.0,52291,36,400.0,Unemployed,977262,2,0,1,0.1861598544641554,0.05350765710730592,Low,0.0
206,2757,25,Female,131554.0,35675,24,381.0,Full-time,177129,0,0,0,0.27118141599647294,0.2014068842482033,Low,
207,3532,57,Male,202458.0,159359,6,828.0,Part-time,667897,0,5,0,0.7871212794752492,0.23859816708264897,High,inf
208,4478,61,Male,133276.0,272318,24,372.0,Part-time,546707,1,8,0,2.0432636033494402,0.4981059324281562,Low,8.0
209,3278,36,Female,364925.0,102268,12,313.0,Unemployed,960082,4,6,0,0.2802438857299445,0.10652006807751838,Low,1.5
210,3796,59,Female,280255.0,194384,24,732.0,Full-time,730351,4,4,0,0.6935969028206455,0.26615148058946997,High,1.0
211,2678,58,Male,242512.0,115410,24,456.0,Part-time,645499,2,1,0,0.47589397638055025,0.17879191137399128,Low,0.5
212,4242,54,Male,487415.0,139887,24,431.0,Part-time,384906,1,0,0,0.28699773293805075,0.3634315910897726,Low,0.0
213,1540,23,Male,373179.0,211554,12,637.0,Part-time,205671,4,1,0,0.5668968511089852,1.0286039354114094,Medium,0.25
214,2059,43,Female,58210.0,296762,36,703.0,Full-time,525122,0,0,0,5.098127469506958,0.5651296270200068,High,
215,3572,51,Male,94363.0,44675,6,675.0,Unemployed,294358,2,2,0,0.47343768214236515,0.15177097276105966,Medium,1.0
216,2183,62,Female,292247.0,291063,6,406.0,Unemployed,748294,3,5,0,0.995948632492378,0.3889687743052864,Low,1.6666666666666667
217,4910,23,Female,128279.0,276317,12,564.0,Unemployed,254870,0,7,0,2.1540314470801922,1.0841487817318634,Low,inf
